Archivo: Trazadora 1 VALIDOS.ACCDB
Provincia: general - registros: 3731
Provincia: BA - registros: 1469
Provincia: CA - registros: 88
Provincia: CB - registros: 165
Provincia: CC - registros: 162
Provincia: CH - registros: 45
Provincia: CO - registros: 133
Provincia: CR - registros: 107
Provincia: ER - registros: 226
Provincia: FO - registros: 145
Provincia: JU - registros: 123
Provincia: LP - registros: 172
Provincia: LR - registros: 59
Provincia: MI - registros: 68
Provincia: MZ - registros: 117
Provincia: NQ - registros: 158
Provincia: RN - registros: 11
Provincia: SC - registros: 36
Provincia: SA - registros: 0
Provincia: SG - registros: 42
Provincia: SJ - registros: 22
Provincia: SL - registros: 177
Provincia: TU - registros: 206
Provincia: SF - registros: 0
Provincia: TF - registros: 0
Archivo: Trazadora 10 VALIDOS.ACCDB
Provincia: general - registros: 1224355
Provincia: BA - registros: 324286
Provincia: CA - registros: 7440
Provincia: CB - registros: 23247
Provincia: CC - registros: 24539
Provincia: CH - registros: 2778
Provincia: CO - registros: 47423
Provincia: CR - registros: 8876
Provincia: ER - registros: 7957
Provincia: FO - registros: 3158
Provincia: JU - registros: 45611
Provincia: LP - registros: 29921
Provincia: LR - registros: 18965
Provincia: MI - registros: 12522
Provincia: MZ - registros: 39476
Provincia: NQ - registros: 52861
Provincia: RN - registros: 5915
Provincia: SC - registros: 930
Provincia: SA - registros: 17004
Provincia: SG - registros: 71962
Provincia: SJ - registros: 5196
Provincia: SL - registros: 30399
Provincia: TU - registros: 356288
Provincia: SF - registros: 87267
Provincia: TF - registros: 334
Archivo: Trazadora 1_Det VALIDOS.ACCDB
Provincia: general - registros: 31589
Provincia: BA - registros: 12564
Provincia: CA - registros: 733
Provincia: CB - registros: 1386
Provincia: CC - registros: 1365
Provincia: CH - registros: 378
Provincia: CO - registros: 1126
Provincia: CR - registros: 894
Provincia: ER - registros: 1915
Provincia: FO - registros: 1202
Provincia: JU - registros: 1038
Provincia: LP - registros: 1481
Provincia: LR - registros: 495
Provincia: MI - registros: 562
Provincia: MZ - registros: 994
Provincia: NQ - registros: 1347
Provincia: RN - registros: 95
Provincia: SC - registros: 309
Provincia: SA - registros: 0
Provincia: SG - registros: 358
Provincia: SJ - registros: 186
Provincia: SL - registros: 1449
Provincia: TU - registros: 1712
Provincia: SF - registros: 0
Provincia: TF - registros: 0
Archivo: Trazadora 2 VALIDOS.ACCDB
Provincia: general - registros: 1367183
Provincia: BA - registros: 427716
Provincia: CA - registros: 11216
Provincia: CB - registros: 32030
Provincia: CC - registros: 75066
Provincia: CH - registros: 6032
Provincia: CO - registros: 119116
Provincia: CR - registros: 46589
Provincia: ER - registros: 44248
Provincia: FO - registros: 32189
Provincia: JU - registros: 38688
Provincia: LP - registros: 14563
Provincia: LR - registros: 12313
Provincia: MI - registros: 82555
Provincia: MZ - registros: 54423
Provincia: NQ - registros: 19217
Provincia: RN - registros: 14065
Provincia: SC - registros: 2671
Provincia: SA - registros: 59002
Provincia: SG - registros: 64074
Provincia: SJ - registros: 22809
Provincia: SL - registros: 14052
Provincia: TU - registros: 93258
Provincia: SF - registros: 79533
Provincia: TF - registros: 1758
Archivo: Trazadora 2_Det VALIDOS.ACCDB
Provincia: general - registros: 1490685
Provincia: BA - registros: 458564
Provincia: CA - registros: 12037
Provincia: CB - registros: 33751
Provincia: CC - registros: 88792
Provincia: CH - registros: 6359
Provincia: CO - registros: 129577
Provincia: CR - registros: 48630
Provincia: ER - registros: 49333
Provincia: FO - registros: 36591
Provincia: JU - registros: 39953
Provincia: LP - registros: 16134
Provincia: LR - registros: 13441
Provincia: MI - registros: 90741
Provincia: MZ - registros: 59495
Provincia: NQ - registros: 19602
Provincia: RN - registros: 15564
Provincia: SC - registros: 2723
Provincia: SA - registros: 62658
Provincia: SG - registros: 67678
Provincia: SJ - registros: 23773
Provincia: SL - registros: 15049
Provincia: TU - registros: 107493
Provincia: SF - registros: 90765
Provincia: TF - registros: 1982
Archivo: Trazadora 3 VALIDOS.ACCDB
Provincia: general - registros: 669105
Provincia: BA - registros: 202111
Provincia: CA - registros: 5959
Provincia: CB - registros: 9802
Provincia: CC - registros: 29606
Provincia: CH - registros: 1519
Provincia: CO - registros: 75591
Provincia: CR - registros: 34552
Provincia: ER - registros: 19780
Provincia: FO - registros: 9888
Provincia: JU - registros: 16930
Provincia: LP - registros: 8461
Provincia: LR - registros: 5143
Provincia: MI - registros: 40650
Provincia: MZ - registros: 22238
Provincia: NQ - registros: 3279
Provincia: RN - registros: 4992
Provincia: SC - registros: 650
Provincia: SA - registros: 33582
Provincia: SG - registros: 52847
Provincia: SJ - registros: 8286
Provincia: SL - registros: 8612
Provincia: TU - registros: 37713
Provincia: SF - registros: 36888
Provincia: TF - registros: 26
Archivo: Trazadora 10 VALIDOS.ACCDB
Provincia: general - registros: 1224355
Archivo: Trazadora 10 VALIDOS.ACCDB
Provincia: general - registros: 1224355
Archivo: Trazadora 10 VALIDOS.ACCDB
Provincia: general - registros: 1224355
Provincia: BA - registros: 324286
Provincia: CA - registros: 7440
Provincia: CB - registros: 23247
Provincia: CC - registros: 24539
Provincia: CH - registros: 2778
Provincia: CO - registros: 47423
Provincia: CR - registros: 8876
Provincia: ER - registros: 7957
Provincia: FO - registros: 3158
Provincia: JU - registros: 45611
Provincia: LP - registros: 29921
Provincia: LR - registros: 18965
Provincia: MI - registros: 12522
Provincia: MZ - registros: 39476
Provincia: NQ - registros: 52861
Provincia: RN - registros: 5915
Provincia: SC - registros: 930
Provincia: SA - registros: 17004
Provincia: SG - registros: 71962
Provincia: SJ - registros: 5196
Provincia: SL - registros: 30399
Provincia: TU - registros: 356288
Provincia: SF - registros: 87267
Provincia: TF - registros: 334
Archivo: Trazadora 3_Det VALIDOS.ACCDB
Provincia: general - registros: 680817
Provincia: BA - registros: 205412
Provincia: CA - registros: 6041
Provincia: CB - registros: 9833
Provincia: CC - registros: 30246
Provincia: CH - registros: 1524
Provincia: CO - registros: 77712
Provincia: CR - registros: 34987
Provincia: ER - registros: 20069
Provincia: FO - registros: 10087
Provincia: JU - registros: 16931
Provincia: LP - registros: 8666
Provincia: LR - registros: 5233
Provincia: MI - registros: 40682
